id,distrito_id,codigo,barrio
4073,340,05,Cuesta Winch
4074,340,06,Delicias
4075,340,07,Esperanza Sur
4076,340,08,Flores
4077,340,09,Garza
4078,340,10,Guiones
4079,340,11,Ligia
4080,340,12,Nosara
4081,340,13,Playa Nosara
4082,340,14,Playa Pelada
4083,340,15,Portal
4084,340,16,Río Montaña
4085,340,17,San Juan
4086,340,18,Santa Marta
4087,340,19,Santa Teresa.
4088,341,01,Arcos
4089,341,02,Balsal
4090,341,03,Caimitalito
4091,341,04,Cuajiniquil
4092,341,05,Cuesta Grande
4093,341,06,Chumburán
4094,341,07,Juntas
4095,341,08,Maquenco
4096,341,09,Minas
4097,341,10,Miramar Sureste
4098,341,11,Naranjal
4099,341,12,Naranjalito
4100,341,13,Nosarita
4101,341,14,Platanillo
4102,341,15,Quebrada Bonita
4103,341,16,Santa Elena (parte)
4104,341,17,Zaragoza.
4105,342,01,Buenos Aires
4106,342,02,Camarenos
4107,342,03,Cátalo Rojas
4108,342,04,Corobicí
4109,342,05,Chorotega
4110,342,06,Esquipulas
4111,342,07,Estocolmo
4112,342,08,Flores
4113,342,09,Garúa
4114,342,10,Guabo
4115,342,11,Lajas
4116,342,12,Los Amigos
4117,342,13,Malinches
4118,342,14,Manchón
4119,342,15,Panamá
4120,342,16,Pepe Lujan
4121,342,17,Sagamat
4122,342,18,San Martín
4123,342,19,Santa Cecilia
4124,342,20,Tenorio
4125,342,21,Tulita Sandino.
4126,342,22,Ángeles
4127,342,23,Arado
4128,342,24,Bernabela
4129,342,25,Cacao
4130,342,26,Caimito
4131,342,27,Congal
4132,342,28,CuatroEsquinas
4133,342,29,Chibola
4134,342,30,Chircó
4135,342,31,Chumico (parte)
4136,342,32,Guayabal
4137,342,33,Hato Viejo
4138,342,34,Lagunilla
4139,342,35,Lechuza
4140,342,36,Limón
4141,342,37,Moya
4142,342,38,Puente Negro
4143,342,39,Retallano (parte)
4144,342,40,Rincón
4145,342,41,Río Cañas Viejo
4146,342,42,San Juan
4147,342,43,San Pedro
4148,342,44,San Pedro Viejo
4149,342,45,Vista al Mar.
4150,343,01,Ortega.
4151,343,02,Ballena (parte)
4152,343,03,Lagartero
4153,343,04,Pochotada.
4154,344,01,Jobos.
4155,344,02,Aguacate
4156,344,03,Avellana
4157,344,04,Barrosa
4158,344,05,Brisas
4159,344,06,Bruno
4160,344,07,Cacaovano
4161,344,08,Camones
4162,344,09,Cañas Gordas
